id,timestamp,student_id,grade,date_and_time_of_misbehavior,location_of_misbehavior,documenting_staff_id,documenting_staff,classroom_or_administrative_managed,type_of_misbehavior,narrative_description_of_misbehavior,consequence,reporting_staff_id,reporting_staff,d12_planning_completed,narrative_of_consequence
1,2015-01-05 12:56:00.000000,9,2,2015-01-05 11:25:00.000000,Blacktop,1,Mr. Abdi,Administrative,Major Defiances (D12),Sufyan  was off task during class instruction. He was reminded numerous of times but still chose  to not following the instructions that were giving to him.,Lunch Detention,157,Ms. Roxx,"A, B, C, D",Sufyan receive lunch detention for his action and spoke about what it takes to earn Monarch Bucks!
2,2014-03-11 10:02:00.000000,80,4,2014-02-05 11:40:00.000000,PE,2,Mr. Barron,Administrative,"Play fighting (CM), Verbal/Physical Intimidation (D12)",student pushed another student in PE and also gave that student the middle finger.,Verbal warning with reminder of positive expectation,45,Mr. Black,"A, B, C, D",
3,2014-03-03 09:52:00.000000,80,4,2014-02-21 12:45:00.000000,PE,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",Student was involved in an ongoing problem of insulting taking place in and out of the classroom.,Verbal warning with reminder of positive expectation,7,Mr.  Nunez,"A, B, C, D",All students involved were brought in for mediation.
4,2014-04-07 10:44:00.000000,80,4,2014-04-04 09:11:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",Student was upset and not listening to staff when they were trying to talk to him about the situation.,Verbal warning with reminder of positive expectation,26,Mr. Alfredo,"A, B, C, D",
5,2014-04-16 09:27:00.000000,80,4,2014-04-15 12:00:00.000000,Yoga,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)","Throwing markers in a fit, refused to come to D-12 as well.",Verbal warning with reminder of positive expectation,91,Ms. Chandra,"A, B, C, D",
6,2014-04-21 09:38:00.000000,80,4,2014-04-16 10:35:00.000000,Playground (Lunch),2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Major Defiances (D12), Verbal/Physical Intimidation (D12)",student slapped another student when he became angry about a game they were playing.,Verbal warning with reminder of positive expectation,32,Mr. Chuy Nunez,"A, B, C, D",
7,2014-06-12 09:59:00.000000,80,4,2014-05-19 12:20:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Disrespectful language",disrespectful language toward teacher,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
8,2014-06-12 08:16:00.000000,80,4,2014-05-20 10:22:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Unauthorized food/gum chewing (CM), Recurring teacher managed behavior checked above (D12)",student was caught chewing gum and asked to spit it out. The student complied and opened and began chewing a new piece of gum.,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
9,2014-06-11 13:36:00.000000,80,4,2014-05-23 11:00:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",called a student stupid and pushed another student over a game of wall ball.,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
10,2014-06-09 13:29:00.000000,80,4,2014-05-27 12:05:00.000000,4th grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",being disrespectful and defiant with teacher.,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
11,2014-06-17 09:00:00.000000,80,4,2014-05-29 08:34:00.000000,Math Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,46,Mr. North,"A, B, C, D",
12,2014-06-17 08:51:00.000000,80,4,2014-05-29 10:45:00.000000,4th grade classroom,2,Mr. Barron,Administrative,Minor Disruptions (CM),student was playing soccer and accidentally made contact with another student. This sparked an argument between the two.,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
13,2014-06-18 09:46:00.000000,80,4,2014-06-04 11:55:00.000000,PE,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was being given redirection about how he was participating in PE. Student refused to change the behavior and was sent to D-12,Verbal warning with reminder of positive expectation,7,Mr.  Nunez,"A, B, C, D",
14,2014-01-16 10:07:00.000000,44,3,2014-01-15 10:26:00.000000,Yoga,2,Mr. Barron,Administrative,Minor Disruptions (CM),Student began to crawl away from Ms. Chandra when being redirected.,Verbal warning with reminder of positive expectation,91,Ms. Chandra,"A, B, C, D",
15,2014-01-27 10:48:00.000000,44,3,2014-01-24 12:21:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),,Verbal warning with reminder of positive expectation,95,Ms. Diaz,"A, B, C, D",
16,2014-02-19 08:37:00.000000,44,3,2014-01-27 11:07:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,95,Ms. Diaz,"A, B, C, D",
17,2014-02-18 10:53:00.000000,44,3,2014-01-27 12:11:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,"Fighting (D12), Major Disruptions (D12)",Student was being restrained from striking another student after he thought he heard some bad mouthing of his mother.,Verbal warning with reminder of positive expectation,95,Ms. Diaz,"A, B, C, D",
18,2014-02-18 10:28:00.000000,44,3,2014-01-28 12:25:00.000000,Playground,2,Mr. Barron,Administrative,Fighting (D12),Student was punched by his brother during a game of football.,Verbal warning with reminder of positive expectation,2,Mr. Barron,"A, B, C, D",
19,2014-02-14 09:28:00.000000,44,3,2014-01-29 09:40:00.000000,Gym (lunch),2,Mr. Barron,Administrative,Play fighting (CM),,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
